lat,lon,vwind,uwind,speed,wdir,gust
36.85265567636507,-109.90775554385856,-0.25,1.96,1.97,270.90000000000003,1.97
36.85510446841879,-109.88001051157336,-0.51,1.82,1.8900000000000001,279.40000000000003,1.8900000000000001
36.857548693849346,-109.85226422780978,-0.51,1.8900000000000001,1.96,278.7,1.96
36.85509816827033,-110.1327791129133,0.13,-0.49,0.5,98.2,2.56
36.857583782168554,-110.10503856913867,-0.36,-1.1300000000000001,1.18,65.7,3.19
36.860064830350865,-110.07729675521362,-1.04,-2.02,2.27,56.5,3.33
36.86254131263129,-110.04955367337418,-1.46,-1.28,1.94,34.9,2.85
36.86501322882429,-110.02180932585716,-1.3,-0.49,1.3900000000000001,14.3,2.25
36.867480578744654,-109.99406371489992,-1.19,0.39,1.25,335.5,1.6300000000000001
36.86994336220757,-109.9663168427405,-0.74,0.89,1.1500000000000001,303.5,1.33
36.87240157902863,-109.93856871161748,-0.5,1.42,1.5,283.3,1.5
36.87485522902366,-109.91081932377007,-0.51,1.5,1.59,282.5,1.59
36.877304312009,-109.88306868143827,-0.54,1.1,1.23,289.8,1.23
36.87974882780131,-109.8553167868625,-0.96,0.67,1.17,318.90000000000003,1.7
36.877293411898705,-110.13588901786522,0.5700000000000001,-1.72,1.81,101.80000000000001,3.74
36.879779321014084,-110.10814286798055,-0.09,-3.47,3.47,82.10000000000001,4.16
36.882260663843134,-110.08039544716867,-0.28,-3.0100000000000002,3.02,78.30000000000001,4.03
36.88473744019996,-110.05264675766696,-0.8300000000000001,-1.77,1.96,58.5,3.4
36.887209649899205,-110.02489680171357,-0.55,-0.53,0.76,38.0,2.21
36.88967729275578,-109.99714558154713,-0.66,0.38,0.77,323.8,1.48
36.892140368584975,-109.96939309940704,-0.49,1.11,1.21,287.40000000000003,1.25
36.89459887720253,-109.9416393575332,-0.02,1.09,1.09,264.8,1.1500000000000001
36.89705281842442,-109.9138843581662,-0.25,1.0,1.03,277.90000000000003,1.07
36.89950219206709,-109.8861281035472,-0.26,0.85,0.89,280.8,0.91
36.901946997947306,-109.85837059591809,-1.46,-0.56,1.56,14.700000000000001,1.68
36.89948669090413,-110.13900019598124,1.04,-2.95,3.12,103.10000000000001,3.64
36.90197289495838,-110.11124843774968,0.43,-1.96,2.0100000000000002,96.10000000000001,3.4
36.90445453215626,-110.08349540781354,0.42,-1.5,1.56,99.2,2.85
36.90693160231214,-110.05574110841152,0.27,-1.35,1.3800000000000001,94.9,2.5500000000000003
36.90940410524074,-110.02798554178308,0.0,0.0,0.0,0.0,1.45
36.911872040757146,-110.00022871016816,0.27,0.63,0.6900000000000001,240.10000000000002,1.22
36.914335408676756,-109.97247061580742,0.17,1.23,1.24,256.0,1.24
36.91679420881536,-109.94471126094219,0.39,1.28,1.34,246.60000000000002,1.34
36.91924844098922,-109.91695064781435,0.38,0.81,0.9,238.60000000000002,0.9
36.921698105014805,-109.88918877866638,0.23,0.93,0.96,250.0,1.08
36.92414320070907,-109.86142565574151,0.07,0.02,0.07,187.5,1.31
36.92167800170998,-110.14211264804013,1.11,-1.76,2.08,115.80000000000001,2.94
36.92416450042455,-110.1143552792236,0.75,-0.84,1.12,125.5,1.99
36.926646431713365,-110.08659663792442,0.35000000000000003,-0.08,0.36,160.5,0.84
36.92912379539084,-110.05883672638271,0.91,0.0,0.91,173.9,1.17
36.93159659127185,-110.03107554683915,1.05,0.33,1.1,191.10000000000002,1.25
36.93406481917158,-110.00331310153508,0.84,0.92,1.25,221.20000000000002,1.4000000000000001
36.936528478905636,-109.97554939271247,0.56,1.45,1.55,242.5,1.55
36.938987570289896,-109.94778442261396,0.39,1.51,1.56,249.3,1.56
